Country,CountryName,Fips_code,ISO3v10,WH_2000,RI_2000,MZ_2000,WHA1F2020,RIA1F2020,MZA1F2020,ActChWHA1F2020,ActChRIAIF2020,ActChMZA1F2020,WHA1F2050,RIA1F2050,MZA1F2050,ActChWHA1F2050,ActChRIAIF2050,ActChMZA1F2050,WHA1F2080,RIA1F2080,MZA1F2080,ActChWHA1F2080,ActChRIAIF2080,ActChMZA1F2080,WHA2a2020,RIA2a2020,MZA2a2020,ActChWHA2a2020,ActChRIA2a2020,ActChMZA2a2020,WHA2a2050,RIA2a2050,MZA2a2050,ActChWHA2a2050,ActChRIA2a2050,ActChMZA2a2050,WHA2a2080,RIA2a2080,MZA2a2080,ActChWHA2a2080,ActChRIA2a2080,ActChMZA2a2080,WHA2b2020,RIA2b2020,MZA2b2020,ActCHWHA2b2020,ActChRIA2b2020,ActChMZA2b2020,WHA2b2050,RIA2b2050,MZA2b2050,ActCHWHA2b2050,ActChRIA2b2050,ActChMZA2b2050,WHA2b2080,RIA2b2080,MZA2b2080,ActChWHA2b2080,ActChRIA2b2080,ActChMZA2b2080,WHA2c2020,RIA2c2020,MZA2c2020,ActChWHA2c2020,ActChRIA2c2020,ActChMZA2c2020,WHA2c2050,RIA2c2050,MZA2c2050,ActChWHA2c2050,ActChRIA2c2050,ActChMZA2c2050,WHA2c2080,RIA2c2080,MZA2c2080,ActChWHA2c2080,ActChRIA2c2080,ActChMZA2c2080,WHB1a2020,RIB1a2020,MZB1a2020,ActChWHB1a2020,ActChRIB1a2020,ActChMZB1a2020,WHB1a2050,RIB1a2050,MZB1a2050,ActChWHB1a2050,ActChRIB1a2050,ActChMZB1a2050,WHB1a2080,RIB1a2080,MZB1a2080,ActChWHB1a2080,ActChRIB1a2080,ActChMZB1a2080,WHB2a2020,RIB2a2020,MZB2a2020,ActChWHB2a2020,ActChRIB2a2020,ActChMZB2a2020,WHB2a2050,RIB2a2050,MZB2a2050,ActChWHB2a2050,ActChRIB2a2050,ActChMZB2a2050,WHB2a2080,RIB2a2080,MZB2a2080,ActChWHB2a2080,ActChRIB2a2080,ActChMZB2a2080,WHB2b2020,RIB2b2020,MZB2b2020,ActChWHB2b2020,ActChRIB2b2020,ActChMZB2b2020,WHB2b2050,RIB2b2050,MZB2b2050,ActChWHB2b2050,ActChRIB2b2050,ActChMZB2b2050,WHB2b2080,RIB2b2080,MZB2b2080,ActChWHB2b2080,ActChRIB2b2080,ActChMZB2b2080,COUNTRY,WH%GR,RI%GR,MZ%GR,A1FI2020,A1FI2050,A1FI2080,A2A2020,A2A2050,A2A2080,A2B2020,A2B2050,A2B2080,A2C2020,A2C2050,A2C2080,B1A2020,B1A2050,B1A2080,B2A2020,B2A2050,B2A2080,B2B2020,B2B2050,B2B2080
11,Bangladesh,BG,BGD,1370010.71,38483787.71,203940.71,-7.55,-2.23,-7.75,-103488.04,-857738.18,-15798.89,9.58,2.7,-10.91,131271.99,1037730.24,-22253.37,9.37,6.76,-4.98,128419.29,2599825.02,-10162.77,3.86,-1.66,-7.19,52868.54,-638205.5,-14669.47,4.89,-0.15,-12.85,66951.97,-56992.4,-26212.47,12.5,7.58,-7.71,171200.45,2917174.66,-15715.15,-0.74,-1.39,-6.52,-10098,-534461.54,-13291.2,10.25,1.68,-10.48,140471.52,645146.93,-21374.14,14.09,8.31,-7.85,193014.65,3199431.38,-16003.52,-3.7,-1.71,-7.28,-50733.53,-658846.84,-14851.84,3.99,-0.1,-12.84,54679.07,-36654.98,-26188.32,3.56,4.57,-11.18,48785.84,1759798.5,-22802.01,-7.06,-2.29,-6.92,-96719.11,-881370.96,-14113.69,0.46,-1.27,-12.1,6369.03,-489514.84,-24674.36,10.02,-1.49,-11.51,137277.77,-574248.56,-23465.19,5.04,-3.01,-8.94,68997.49,-1159892.86,-18229.41,7.52,-1.22,-12,103003.74,-470601.33,-24464.96,9.51,1.67,-11.7,130328.86,641065.93,-23864.96,1.78,-3.65,-9.86,24337.5,-1404141.06,-20110.24,4.18,-3.71,-15.99,57284.34,-1429485.02,-32599.93,8.32,-1.53,-16.32,113954.57,-589849.29,-33291.11,Bangladesh,4.63,95.36,0.01,-0.83,1,2.29,-0.47,0.03,2.6,-0.45,0.69,2.86,-0.6,0.03,1.51,-0.84,-0.4,-0.32,-0.88,-0.27,0.68,-1.13,-1.12,-0.36
12,Belarus,BO,BLR,1002379.43,0,68088,-4.72,-6.72,-7.72,-47268.75,0,-5253.43,-9.12,-10.12,-16.12,-91458.92,0,-10978.63,-7.92,-8.92,-17.92,-79381.7,0,-12200.91,-4.94,-6.94,-7.94,-49548.02,0,-5408.26,-3.57,-5.57,-10.57,-35809.13,0,-7198.54,-2.58,-3.58,-13.58,-25883.32,0,-9247.84,2.9,0.9,-0.1,29102.72,0,-65.8,-0.4,-2.4,-7.4,-4012.99,0,-5038.75,-1.58,-2.58,-12.58,-15801.52,0,-8563.02,0.59,-1.41,-2.41,5892.25,0,-1642.4,-5.62,-7.62,-12.62,-56365.38,0,-8594.86,-4.94,-5.94,-15.94,-49507.61,0,-10852.55,0.21,-1.79,-2.79,2135.11,0,-1897.61,-1.1,-2.1,-6.1,-11024.71,0,-4153.27,-6.64,-9.64,-12.64,-66555.41,0,-8606.15,-3.53,-5.53,-6.53,-35432.02,0,-4449.41,-4.9,-5.9,-9.9,-49124.05,0,-6741.22,-1.11,-2.11,-8.11,-11164.26,0,-5524.51,-3.46,-5.46,-6.46,-34711.32,0,-4400.45,-9.66,-10.66,-14.66,-96858.06,0,-9983.62,-5.46,-6.46,-12.46,-54693.96,0,-8481.32,BELARUS,99.24,0,0.76,-1.58,-3.06,-2.67,-1.66,-1.21,-0.89,0.96,-0.15,-0.55,0.19,-1.89,-1.67,0.06,-0.38,-2.23,-1.19,-1.65,-0.39,-1.16,-3.23,-1.84
13,Belgium,BE,BEL,1675068.29,0,541648,4.19,2.19,-1.68,70256.21,0,-9085.67,9.28,8.28,-1.37,155475.28,0,-7440.67,7.48,6.48,1.19,125366.64,0,6448.08,5.67,3.67,-1.16,94897.14,0,-6285.3,9.2,7.2,-1.32,154163.18,0,-7133.83,13.14,12.14,0.45,220075.12,0,2428.65,3.49,1.49,-0.72,58433.38,0,-3923.56,8.92,6.92,-1.66,149357.33,0,-8966.6,13.15,12.15,0.77,220318.79,0,4149.59,3.34,1.34,-1.48,56015.66,0,-8002.62,9.07,7.07,-1.81,151979.09,0,-9804.85,13.51,12.51,0.44,226325.01,0,2406.02,1.61,-0.39,-1.71,26919.07,0,-9285.34,5.28,4.28,-2.83,88461.58,0,-15334.17,6.86,3.86,-3.21,114969.43,0,-17383.87,3.66,2.31,-2.6,61247.99,0,-14096.11,5.13,4.13,-3.19,85926.4,0,-17282.35,7.24,6.24,-1.42,121338.09,0,-7671.52,3.16,1.16,-2.55,52905.8,0,-13785.49,5.5,4.5,-3.13,92113.58,0,-16947.01,8.85,7.85,-1.35,148306.01,0,-7292.55,Belgium,89.91,0,10.09,1.2,2.74,2.28,1.66,2.71,3.95,1.02,2.62,3.97,0.95,2.66,4.06,0.42,1.49,1.95,1.01,1.43,2.12,0.86,1.54,2.61
14,Belize,BH,BLZ,0,12547.86,33505,-3.43,-5.43,0.23,0,-681.29,76.92,-0.81,-1.81,1.43,0,-227.37,478.25,11.06,10.06,6.83,0,1262.78,2289.68,-3.14,-5.14,-0.18,0,-645.24,-61.04,-3.98,-5.98,-0.14,0,-750.85,-45.42,7.51,6.51,5.49,0,816.57,1840.83,-4.92,-6.92,-1.33,0,-868.8,-447.21,-2.26,-4.26,0.51,0,-534.38,170.32,7.52,6.52,4.01,0,817.99,1344.59,-3.26,-5.26,0.27,0,-659.56,92.04,-2.74,-4.74,0.2,0,-594.19,66.46,10.13,10.47,6.36,0,1313.26,2130.84,-6.88,-8.88,-2.37,0,-1113.96,-793.38,-5.85,-6.85,-1.84,0,-858.97,-617.77,-4.43,-7.43,-1.11,0,-932.57,-371.17,-5.02,-7.02,-2.23,0,-880.69,-745.53,-6.19,-7.19,-1.5,0,-902.04,-502.2,-1.5,-2.5,1.68,0,-313.47,561.83,-3.21,-5.21,-1.13,0,-653.39,-377.85,-4.62,-5.62,-0.92,0,-705.23,-307.73,-2.32,-3.32,1.18,0,-416.29,394.42,Belize,0,24.32,75.68,-0.38,0.21,2.54,-0.46,-0.52,1.91,-0.9,-0.22,1.54,-0.36,-0.33,2.45,-1.32,-1.02,-0.88,-1.13,-0.96,0.22,-0.71,-0.69,0.03
15,Benin,BN,BEN,0,62641.43,746581.86,0.14,-1.86,-4.18,0,-1164.35,-31221.05,-1.98,-2.98,-10.07,0,-1868.97,-75181.84,-14.52,-15.52,-20.75,0,-9722.18,-154925.71,0.2,-1.8,-4.5,0,-1126.9,-33560.61,-0.26,-2.26,-8.86,0,-1414.91,-66110.3,-5.76,-6.76,-15.58,0,-4237.41,-116336.78,0.42,-1.58,-4.05,0,-989.76,-30209.73,0.97,-1.03,-7.47,0,-642.74,-55777.76,-4.17,-5.17,-14.01,0,-3240.64,-104625.89,0.84,-1.16,-3.53,0,-728.35,-26380.86,1.85,-0.15,-7.03,0,-95.78,-52505.61,-4.31,-5.31,-14.69,0,-3324.2,-109648.74,-0.4,-2.4,-4.6,0,-1503.47,-34363.37,-0.6,-1.6,-7.26,0,-1003.54,-54217.21,-2.25,-5.25,-9.99,0,-3288.63,-74555.58,-1.33,-3.33,-6.19,0,-2083.41,-46220.76,-2.58,-3.58,-9.16,0,-2239.9,-68420.34,-4.49,-5.49,-12.4,0,-3437.3,-92564.35,-0.76,-2.76,-5.25,0,-1726.45,-39207.04,-1.59,-2.59,-8.22,0,-1622.28,-61368.76,-6.42,-7.42,-14.74,0,-4649.59,-110071.95,Benin,0,4.15,95.85,-1.36,-3.26,-6.84,-1.46,-2.86,-5.07,-1.31,-2.4,-4.55,-1.15,-2.25,-4.77,-1.5,-2.34,-3.26,-2.02,-2.98,-4.04,-1.72,-2.66,-4.81
16,Bhutan,BT,BTN,6512.43,51147.29,68433.43,-2.8,-0.7,-1.01,-182.35,-355.49,-690.31,5.67,1.95,-3.78,369.5,999.45,-2590.13,2.61,0.9,-5.5,169.75,461.12,-3764.51,2.8,0.09,-1.74,182.63,45.28,-1190.41,4.2,2.16,-5.19,273.44,1104.8,-3553.64,8.1,5.54,-4.1,527.51,2832.57,-2803.02,0.5,0.11,-1.33,32.28,53.73,-909.88,6.75,2.34,-3.77,439.56,1198.07,-2579.6,8.4,3.47,-3.6,546.92,1772.88,-2464.4,-1.25,0.04,-2.58,-81.7,19.3,-1762.45,2.89,1.4,-5.8,188.42,716.29,-3967.69,2.26,4.07,-7.2,147.19,2082.54,-4924.1,-2.81,-0.78,-1.91,-182.84,-399.51,-1304.21,1,0.75,-4.89,65.24,384.03,-3346.8,5.08,-1.19,-5.39,331.01,-609.94,-3686.37,2.55,-1.43,-3.56,165.95,-731.85,-2436.08,3.91,0.35,-5.56,254.77,178.84,-3801.96,5.92,2.72,-4.94,385.64,1390.99,-3378,1.38,-1.12,-2.14,89.95,-573.56,-1464.2,3.35,-0.21,-3.98,218.21,-108.59,-2722.71,6.07,3.16,-4.92,395.09,1615.03,-3366.73,Bhutan,5.32,53.19,41.49,-0.31,-0.08,-0.55,-0.18,-0.26,0.56,-0.16,0.01,0.27,-0.37,-0.5,-0.23,-0.45,-0.53,-0.87,-0.7,-0.64,-0.1,-0.47,-0.53,-0.01
17,Bolivia,BL,BOL,120754.57,346376.14,712158.29,3.42,1.42,-5.08,4134.68,4932.53,-36173.01,11.3,10.3,-7.15,13640.81,35663.97,-50891.57,0.02,-0.98,-8.77,26.4,-3388.02,-62464.73,10.15,8.15,-6.84,12252.19,28217.03,-48692.1,9.87,7.87,-9.14,11922.95,27272.64,-65122.99,9.85,8.85,-11.78,11890.24,30642.58,-83925.62,5.51,3.51,-6.48,6655.39,12163.01,-46130.8,14.64,12.64,-11.32,17681.89,43791.75,-80648.18,9.02,8.02,-9.81,10889.77,27772.79,-69857.88,3.77,1.77,-3.88,4553.05,6132.58,-27596.78,5.99,3.99,-7.93,7228.53,13807.02,-56466.45,3.54,2.54,-8.45,4274.68,8797.86,-60189.93,2.12,0.12,-4.23,2555.04,401.44,-30131.53,4.47,3.47,-7.18,5396.69,12016.28,-51134.48,6.3,3.3,-11.8,7606.25,11426.71,-84028.31,3.44,1.44,-4.3,4158.76,5001.58,-30614.51,8.28,7.28,-8.87,9997.79,25214.19,-63196.84,7.23,6.23,-10.29,8734.21,21589.72,-73271.59,3.55,1.55,-7.05,4281.5,5353.67,-50173.63,1.29,0.29,-8.2,1553.47,992.27,-58388.61,9.86,8.86,-11.56,11908.05,30693.65,-82350.07,Bolivia,9.41,32.53,58.06,-0.72,0.09,-1.8,-0.12,-0.61,-1.01,-0.7,-0.36,-0.75,-0.44,-0.91,-1.25,-0.74,-0.87,-1.73,-0.57,-0.67,-1.09,-1.08,-1.52,-0.97
18,Bosnia and Herz.,BK,BIH,260590.57,0,811312.57,-4.91,-6.91,-7.91,-12782.4,0,-64135.6,-7.18,-8.18,-14.18,-18710.8,0,-115045.35,-3.83,-4.83,-13.83,-9991.9,0,-112239.66,-5.73,-7.73,-8.73,-14919.11,0,-70787.95,-6.3,-8.3,-13.3,-16422.01,0,-107919.53,-1.83,-2.83,-12.83,-4773.42,0,-104105.75,-4.4,-6.4,-7.4,-11473.21,0,-60059.62,-6.77,-8.77,-13.77,-17640.12,0,-111711.94,-3,-4,-14,-7809.27,0,-113557.47,-2.98,-4.98,-5.98,-7761.08,0,-48502.42,-6.83,-8.83,-13.83,-17788.19,0,-112172.94,-3.42,-4.42,-14.42,-8900.78,0,-116955.73,-7.88,-9.88,-10.88,-20546.36,0,-88307.61,-6.1,-7.1,-11.1,-15905.06,0,-90083.84,-8.41,-11.41,-14.41,-21908.63,0,-116888.24,-8.86,-10.86,-11.86,-23083.42,0,-96206.39,-7.17,-8.17,-12.17,-18686.25,0,-98742.67,-5.83,-6.83,-12.83,-15180.93,0,-104055.61,-5.99,-7.99,-8.99,-15601.13,0,-72911.33,-10,-11,-15,-26049.76,0,-121667.94,-7.38,-8.38,-14.38,-19220.32,0,-116631.68,Bosnia and Herzegovina,21.96,0,78.04,-2.42,-4.21,-3.88,-2.69,-3.92,-3.47,-2.25,-4.08,-3.86,-1.77,-4.1,-4,-3.41,-3.34,-4.36,-3.73,-3.69,-3.76,-2.78,-4.63,-4.28
19,Botswana,BC,BWA,542.86,0,8914.71,0.14,-1.86,-4.18,0.77,0,-372.8,-1.98,-2.98,-10.07,-10.77,0,-897.72,-14.52,-15.52,-20.75,-78.82,0,-1849.92,0.2,-1.8,-4.5,1.09,0,-400.74,-0.26,-2.26,-8.86,-1.4,0,-789.4,-5.76,-6.76,-15.58,-31.29,0,-1389.14,0.42,-1.58,-4.05,2.28,0,-360.73,0.97,-1.03,-7.47,5.29,0,-666.03,-4.17,-5.17,-14.01,-22.66,0,-1249.31,0.84,-1.16,-3.53,4.55,0,-315.01,1.85,-0.15,-7.03,10.03,0,-626.95,-4.31,-5.31,-14.69,-23.38,0,-1309.28,-0.4,-2.4,-4.6,-2.17,0,-410.32,-0.6,-1.6,-7.26,-3.27,0,-647.39,-2.25,-5.25,-9.99,-12.21,0,-890.25,-1.33,-3.33,-6.19,-7.2,0,-551.91,-2.58,-3.58,-9.16,-13.98,0,-816.99,-4.49,-5.49,-12.4,-24.36,0,-1105.28,-0.76,-2.76,-5.25,-4.1,0,-468.16,-1.59,-2.59,-8.22,-8.63,0,-732.79,-6.42,-7.42,-14.74,-34.87,0,-1314.34,Botswana,3.77,0,96.23,-1.34,-3.26,-6.84,-1.44,-2.84,-5.07,-1.29,-2.38,-4.55,-1.12,-2.23,-4.77,-1.48,-2.34,-3.23,-2,-2.97,-4.03,-1.69,-2.66,-4.81
20,Brazil,BR,BRA,3892588.57,11437436.57,39665359.43,-3.43,-5.43,0.23,-133496.86,-620997.18,91064.62,-0.81,-1.81,1.43,-31609.08,-207250.06,566182.92,11.06,10.06,6.83,430664.43,1151029.61,2710670.19,-3.14,-5.14,-0.18,-122314.36,-588140.09,-72266.57,-3.98,-5.98,-0.14,-155077.99,-684408.16,-53767.13,7.51,6.51,5.49,292241.03,744305.72,2179287.01,-4.92,-6.92,-1.33,-191666.81,-791915.62,-529434.61,-2.26,-4.26,0.51,-87924.81,-487094.66,201640.51,7.52,6.52,4.01,292681.82,745600.87,1591815.96,-3.26,-5.26,0.27,-126756.43,-601192.06,108958.76,-2.74,-4.74,0.2,-106477.52,-541607.36,78678.92,10.13,10.47,6.36,394423.94,1197044.79,2522626.34,-6.88,-8.88,-2.37,-267720.88,-1015382.24,-939258.61,-5.85,-6.85,-1.84,-227544.59,-782959.5,-731349.69,-4.43,-7.43,-1.11,-172523.41,-850041.71,-439418.17,-5.02,-7.02,-2.23,-195356.67,-802757.37,-882611.45,-6.19,-7.19,-1.5,-240904.16,-822213.37,-594531.34,-1.5,-2.5,1.68,-58317.27,-285725.65,665125.83,-3.21,-5.21,-1.13,-124841.07,-595564.23,-447327.34,-4.62,-5.62,-0.92,-179848.64,-642816.39,-364314.01,-2.32,-3.32,1.18,-90215.44,-379450.78,466934.41,Brazil,7.38,21.94,70.68,-0.43,0.18,2.62,-0.5,-0.57,1.96,-0.94,-0.25,1.61,-0.4,-0.37,2.51,-1.38,-1.08,-0.91,-1.16,-1.03,0.18,-0.73,-0.74,-0.02
21,Brunei,BX,BRN,0,590.57,0,-2.8,-0.7,-1.01,0,-4.1,0,5.67,1.95,-3.78,0,11.54,0,2.61,0.9,-5.5,0,5.32,0,2.8,0.09,-1.74,0,0.52,0,4.2,2.16,-5.19,0,12.76,0,8.1,5.54,-4.1,0,32.71,0,0.5,0.11,-1.33,0,0.62,0,6.75,2.34,-3.77,0,13.83,0,8.4,3.47,-3.6,0,20.47,0,-1.25,0.04,-2.58,0,0.22,0,2.89,1.4,-5.8,0,8.27,0,2.26,4.07,-7.2,0,24.05,0,-2.81,-0.78,-1.91,0,-4.61,0,1,0.75,-4.89,0,4.43,0,5.08,-1.19,-5.39,0,-7.04,0,2.55,-1.43,-3.56,0,-8.45,0,3.91,0.35,-5.56,0,2.06,0,5.92,2.72,-4.94,0,16.06,0,1.38,-1.12,-2.14,0,-6.62,0,3.35,-0.21,-3.98,0,-1.25,0,6.07,3.16,-4.92,0,18.65,0,Brunei,0,100,0,-0.23,0.65,0.3,0.03,0.72,1.85,0.04,0.78,1.16,0.01,0.47,1.36,-0.26,0.25,-0.4,-0.48,0.12,0.91,-0.37,-0.07,1.05
22,Bulgaria,BU,BGR,3389509.57,20770.14,1346074,-4.91,-6.91,-7.91,-166261.07,-1434.21,-106409.38,-7.18,-8.18,-14.18,-243371.9,-1699.03,-190875.32,-3.83,-4.83,-13.83,-129964.97,-1004.1,-186220.31,-5.73,-7.73,-8.73,-194053.32,-1604.52,-117446.5,-6.3,-8.3,-13.3,-213601.6,-1724.3,-179052.66,-1.83,-2.83,-12.83,-62087.96,-588.16,-172725.1,-4.4,-6.4,-7.4,-149232.38,-1329.86,-99646.79,-6.77,-8.77,-13.77,-229445.55,-1821.39,-185344.76,-3,-4,-14,-101575.47,-830.13,-188406.75,-2.98,-4.98,-5.98,-100948.6,-1033.99,-80471.88,-6.83,-8.83,-13.83,-231371.55,-1833.2,-186109.63,-3.42,-4.42,-14.42,-115772.72,-917.13,-194044.89,-7.88,-9.88,-10.88,-267247.12,-2053.03,-146513.91,-6.1,-7.1,-11.1,-206877.65,-1475.4,-149460.9,-8.41,-11.41,-14.41,-284966.24,-2369.31,-193932.92,-8.86,-10.86,-11.86,-300246.7,-2255.25,-159619.02,-7.17,-8.17,-12.17,-243052.61,-1697.07,-163827.04,-5.83,-6.83,-12.83,-197458.87,-1417.68,-172641.91,-5.99,-7.99,-8.99,-202924.39,-1658.88,-120969.47,-10,-11,-15,-338830.01,-2283.97,-201863.07,-7.38,-8.38,-14.38,-249999.32,-1739.64,-193507.27,Bulgaria,61.91,0.35,37.75,-2.01,-3.28,-2.54,-2.29,-2.98,-2,-1.85,-3.14,-2.38,-1.37,-3.16,-2.52,-3.01,-2.66,-3.56,-3.33,-3.02,-2.82,-2.38,-3.96,-3.34
23,Burkina Faso,UV,BFA,0,97038.57,642223.43,0.14,-1.86,-4.18,0,-1803.71,-26856.92,-1.98,-2.98,-10.07,0,-2895.24,-64672.8,-14.52,-15.52,-20.75,0,-15060.74,-133269.94,0.2,-1.8,-4.5,0,-1745.7,-28869.45,-0.26,-2.26,-8.86,0,-2191.85,-56869.29,-5.76,-6.76,-15.58,0,-6564.22,-100075.04,0.42,-1.58,-4.05,0,-1533.25,-25986.96,0.97,-1.03,-7.47,0,-995.68,-47981.05,-4.17,-5.17,-14.01,0,-5020.11,-90001.11,0.84,-1.16,-3.53,0,-1128.29,-22693.3,1.85,-0.15,-7.03,0,-148.38,-45166.29,-4.31,-5.31,-14.69,0,-5149.55,-94321.86,-0.4,-2.4,-4.6,0,-2329.04,-29560,-0.6,-1.6,-7.26,0,-1554.59,-46638.64,-2.25,-5.25,-9.99,0,-5094.45,-64134.08,-1.33,-3.33,-6.19,0,-3227.43,-39759.95,-2.58,-3.58,-9.16,0,-3469.86,-58856.43,-4.49,-5.49,-12.4,0,-5324.77,-79625.56,-0.76,-2.76,-5.25,0,-2674.46,-33726.61,-1.59,-2.59,-8.22,0,-2513.09,-52790.54,-6.42,-7.42,-14.74,0,-7202.74,-94685.91,Burkina Faso,0,24.42,75.58,-1.2,-2.78,-6.49,-1.28,-2.41,-4.48,-1.15,-1.97,-3.95,-0.98,-1.78,-4.13,-1.35,-1.96,-2.94,-1.83,-2.6,-3.57,-1.55,-2.28,-4.32
24,Burundi,BY,BDI,8089.14,62470.29,123804.71,0.14,-1.86,-4.18,11.43,-1161.17,-5177.35,-1.98,-2.98,-10.07,-160.46,-1863.86,-12467.31,-14.52,-15.52,-20.75,-1174.57,-9695.62,-25691.13,0.2,-1.8,-4.5,16.26,-1123.83,-5565.31,-0.26,-2.26,-8.86,-20.93,-1411.04,-10962.99,-5.76,-6.76,-15.58,-466.3,-4225.83,-19291.98,0.42,-1.58,-4.05,33.97,-987.06,-5009.64,0.97,-1.03,-7.47,78.78,-640.99,-9249.55,-4.17,-5.17,-14.01,-337.59,-3231.79,-17349.98,0.84,-1.16,-3.53,67.73,-726.36,-4374.7,1.85,-0.15,-7.03,149.41,-95.52,-8706.94,-4.31,-5.31,-14.69,-348.38,-3315.12,-18182.91,-0.4,-2.4,-4.6,-32.37,-1499.36,-5698.43,-0.6,-1.6,-7.26,-48.7,-1000.79,-8990.77,-2.25,-5.25,-9.99,-182,-3279.64,-12363.46,-1.33,-3.33,-6.19,-107.26,-2077.72,-7664.73,-2.58,-3.58,-9.16,-208.36,-2233.78,-11346.06,-4.49,-5.49,-12.4,-362.98,-3427.91,-15349.83,-0.76,-2.76,-5.25,-61.16,-1721.73,-6501.65,-1.59,-2.59,-8.22,-128.6,-1617.85,-10176.7,-6.42,-7.42,-14.74,-519.53,-4636.89,-18253.09,Burundi,4.64,21.41,73.96,-1.16,-2.73,-6.45,-1.23,-2.35,-4.41,-1.1,-1.9,-3.89,-0.94,-1.72,-4.07,-1.31,-1.91,-2.87,-1.78,-2.55,-3.52,-1.5,-2.24,-4.26
25,Cambodia,CB,KHM,0,4725597.29,241058.86,-2.8,-0.7,-1.01,0,-32844.48,-2431.63,5.67,1.95,-3.78,0,92340.89,-9123.8,2.61,0.9,-5.5,0,42603.73,-13260.62,2.8,0.09,-1.74,0,4183.88,-4193.24,4.2,2.16,-5.19,0,102074.39,-12517.8,8.1,5.54,-4.1,0,261706.29,-9873.74,0.5,0.11,-1.33,0,4963.79,-3205.09,6.75,2.34,-3.77,0,110691.65,-9086.72,8.4,3.47,-3.6,0,163799.41,-8680.92,-1.25,0.04,-2.58,0,1782.71,-6208.29,2.89,1.4,-5.8,0,66179.04,-13976.31,2.26,4.07,-7.2,0,192409.51,-17345.28,-2.81,-0.78,-1.91,0,-36911.54,-4594.1,1,0.75,-4.89,0,35481.34,-11789.21,5.08,-1.19,-5.39,0,-56353.62,-12985.36,2.55,-1.43,-3.56,0,-67616.58,-8581.17,3.91,0.35,-5.56,0,16523.52,-13392.51,5.92,2.72,-4.94,0,128516.54,-11899.1,1.38,-1.12,-2.14,0,-52992.35,-5157.69,3.35,-0.21,-3.98,0,-10032.6,-9590.83,6.07,3.16,-4.92,0,149215.76,-11859.42,Cambodia,0,98.13,1.87,-0.23,0.62,0.26,0.02,0.67,1.79,0.03,0.74,1.11,0,0.42,1.29,-0.27,0.22,-0.42,-0.49,0.08,0.86,-0.38,-0.09,1
26,Cameroon,CM,CMR,400,52838.29,870431.71,-1.07,-3.07,-4.07,-4.26,-1619.94,-35390.38,-2.38,-3.38,-9.38,-9.53,-1786.81,-81660.94,-8.94,-9.94,-18.94,-35.76,-5251.79,-164854.17,-0.5,-2.5,-3.5,-2.02,-1323.32,-30503.96,-1.23,-3.23,-8.23,-4.92,-1706.05,-71626.13,-2.53,-3.53,-13.53,-10.1,-1862.81,-117730.16,-0.72,-2.72,-3.72,-2.89,-1439.12,-32411.68,0.29,-1.71,-6.71,1.14,-905.73,-58442.2,-2.3,-3.3,-13.3,-9.19,-1742.31,-115745.13,-0.2,-2.2,-3.2,-0.78,-1160.07,-27814.68,0.93,-1.07,-6.07,3.72,-565.59,-52838.81,-1.51,-2.51,-12.51,-6.05,-1327.89,-108918.13,-1.15,-3.15,-4.15,-4.58,-1662.03,-36083.75,-1.91,-2.91,-6.91,-7.65,-1539.11,-60171.75,-3.85,-6.85,-9.85,-15.39,-3618.4,-85720.63,-1.79,-3.79,-4.79,-7.16,-2002.14,-41686.6,-2.53,-3.53,-7.53,-10.13,-1865.97,-65556.4,-4.18,-5.18,-11.18,-16.72,-2737.38,-97320.15,-1.76,-3.76,-4.76,-7.05,-1988.09,-41455.19,-3.32,-4.32,-8.32,-13.3,-2284.92,-72457.87,-2.57,-3.57,-9.57,-10.3,-1888.88,-83342.44,Cameroon,0.05,6.72,93.23,-1.33,-2.99,-6.11,-1.15,-2.63,-4.28,-1.22,-2.12,-4.21,-1.04,-1.91,-3.95,-1.36,-2.21,-3.21,-1.57,-2.42,-3.59,-1.56,-2.68,-3.06
27,Canada,CA,CAN,23140657.14,0,8726828.57,6.53,4.53,-0.03,1511756.17,0,-2908.72,3.19,2.19,2.69,737541.51,0,234842.72,1.45,0.45,4.16,334752.05,0,363268.96,2.52,0.52,0.1,582133.16,0,8882.86,8.45,6.45,2.18,1955514.29,0,190169.93,7.62,6.62,3.51,1763207.92,0,306536.9,5.81,3.81,-0.19,1344990.47,0,-16396.61,5.58,3.58,1.97,1292007,0,172131.78,-0.67,-1.67,4.68,-154028.77,0,408340.55,1.13,-0.87,-0.05,262378.86,0,-4799.7,7.15,5.15,-0.06,1654934.09,0,-4989.94,10.49,9.49,1.65,2426553.6,0,144281.81,2.81,0.81,-1.46,649418.28,0,-127708.75,4.44,3.44,-0.29,1028338.41,0,-25104.27,3.53,0.53,-0.78,816296.03,0,-67874.21,1.62,-0.38,-0.65,374093.29,0,-56988.8,4.5,3.5,-0.48,1042476.83,0,-41671.96,5.28,4.28,2.66,1222169.54,0,232143.67,2.98,0.98,-0.71,690449.64,0,-62232.23,1.56,0.56,-0.26,362011.07,0,-22394.71,2.39,1.39,1.92,554098.97,0,167679.29,Canada,79.8,0,20.2,1.74,1.03,0.67,0.68,2.39,2.26,1.53,1.62,0.14,0.3,1.9,2.9,0.65,1.16,0.89,0.39,1.17,1.58,0.75,0.4,0.77
